iter	RMSE
0	51.38307174
1	49.35326938
2	47.78549958
3	46.44691174
4	45.31259897
5	44.41586034
6	43.38203877
7	42.64475689
8	41.81772513
9	41.24088235
10	40.76063795
11	40.54276214
12	40.0972578
13	39.65753369
14	39.17365378
15	38.85263814
16	38.53823122
17	38.22425088
18	37.8898887
19	37.69099487
20	37.43571897
21	37.24707366
22	37.0768104
23	36.85944556
24	36.74048139
25	36.64363652
26	36.5440657
27	36.39758093
28	36.22661588
29	36.10019547
30	35.97431949
31	35.87132019
32	35.79692668
33	35.71892404
34	35.585848
35	35.45961419
36	35.38748476
37	35.33784847
38	35.28642185
39	35.23337171
40	35.214534
41	35.15786541
42	35.11783636
43	35.07832638
44	35.04181926
45	35.03694545
46	34.9792267
47	34.91450122
48	34.88279156
49	34.8553932
50	34.77280596
51	34.71959697
52	34.6712488
53	34.65412467
54	34.58146635
55	34.56340723
56	34.52022993
57	34.48713296
58	34.46075752
59	34.43435484
60	34.41446439
61	34.35543147
62	34.33309166
63	34.31949283
64	34.30306951
65	34.2570382
66	34.24452553
67	34.23362242
68	34.18501115
69	34.16649516
70	34.1467727
71	34.11506005
72	34.09697228
73	34.08193077
74	34.07292718
75	34.02586484
76	34.00544275
77	33.9857501
78	33.94579726
79	33.94036636
80	33.90717657
81	33.90199632
82	33.88851516
83	33.87674552
84	33.86559686
85	33.84287402
86	33.83883683
87	33.82862732
88	33.82378237
89	33.80677267
90	33.77901593
91	33.76803233
92	33.75931431
93	33.75092333
94	33.74304256
95	33.71244257
96	33.70495488
97	33.6985669
98	33.67426325
99	33.66974662
100	33.64008797
101	33.63355175
102	33.61396796
103	33.59605538
104	33.58988753
105	33.5645859
106	33.56077514
107	33.55508773
108	33.54969134
109	33.53603357
110	33.52148942
111	33.51822532
112	33.51338868
113	33.50871854
114	33.4866408
115	33.48097567
116	33.4700298
117	33.44930535
118	33.44520308
119	33.44129432
120	33.43758862
121	33.41911724
122	33.40296817
123	33.39942936
124	33.38932813
125	33.37435344
126	33.36618276
127	33.35611725
128	33.35208545
129	33.34897941
130	33.33890945
131	33.33688801
132	33.33403804
133	33.33133009
134	33.32807193
135	33.31979994
136	33.3173553
137	33.31578826
138	33.31429859
139	33.30153861
140	33.29461779
141	33.29243621
142	33.28635848
143	33.28506044
144	33.2825914
145	33.27177944
146	33.26992805
147	33.26816923
148	33.26169518
149	33.25176086
150	33.24744113
151	33.24567144
152	33.23922688
153	33.2376402
154	33.23099061
155	33.22317643
156	33.22219688
157	33.21469394
158	33.21323903
159	33.20864396
160	33.20730799
161	33.20603994
162	33.20218129
163	33.1960446
164	33.19269435
165	33.19152672
166	33.19078761
167	33.18726622
168	33.18619592
169	33.18518069
170	33.18381195
171	33.17771096
172	33.17677654
173	33.17324774
174	33.16844323
175	33.16574947
176	33.16111924
177	33.15720228
178	33.15630607
179	33.15335288
180	33.14826827
181	33.14770327
182	33.14416819
183	33.13991059
184	33.13766236
185	33.1371163
186	33.13630275
187	33.13371968
188	33.13304243
189	33.13257476
190	33.13054892
191	33.13012774
192	33.12920322
193	33.12656234
194	33.12591753
195	33.12413327
196	33.12244379
197	33.11992314
198	33.11618271
199	33.11404994
