iter	Passed	Remaining
0	1	199
1	1	192
2	3	214
3	4	208
4	5	212
5	7	233
6	8	226
7	8	214
8	9	199
9	9	187
10	10	177
11	10	168
12	11	160
13	11	154
14	12	153
15	13	150
16	13	149
17	14	149
18	15	145
19	16	144
20	17	146
21	17	142
22	18	139
23	18	137
24	19	134
25	19	131
26	20	128
27	20	126
28	21	124
29	21	121
30	21	119
31	22	117
32	22	115
33	23	113
34	23	111
35	24	110
36	24	108
37	25	107
38	25	105
39	26	104
40	26	102
41	26	101
42	27	100
43	28	99
44	28	98
45	28	96
46	29	95
47	29	94
48	30	92
49	30	91
50	31	90
51	31	89
52	32	88
53	32	87
54	32	86
55	33	85
56	33	84
57	34	84
58	34	83
59	35	82
60	35	81
61	35	80
62	36	79
63	36	78
64	37	77
65	37	76
66	38	75
67	38	75
68	39	74
69	39	73
70	40	72
71	40	71
72	41	72
73	42	72
74	43	72
75	44	72
76	44	71
77	45	70
78	45	69
79	46	69
80	46	68
81	47	67
82	47	66
83	47	66
84	48	65
85	48	64
86	49	63
87	49	63
88	50	62
89	50	61
90	51	61
91	51	60
92	52	59
93	52	59
94	52	58
95	53	57
96	53	57
97	54	56
98	54	55
99	55	55
100	55	54
101	56	53
102	56	53
103	57	52
104	58	52
105	58	52
106	59	51
107	59	50
108	60	50
109	60	49
110	61	48
111	61	48
112	61	47
113	62	47
114	62	46
115	63	45
116	63	45
117	64	44
118	64	44
119	65	43
120	65	42
121	65	42
122	66	41
123	67	41
124	67	40
125	67	39
126	68	39
127	68	38
128	69	38
129	69	37
130	70	36
131	70	36
132	71	35
133	71	35
134	71	34
135	72	34
136	72	33
137	73	32
138	73	32
139	74	31
140	74	31
141	75	30
142	75	30
143	76	29
144	76	29
145	77	28
146	77	27
147	77	27
148	78	26
149	78	26
150	79	25
151	79	25
152	80	24
153	80	24
154	81	23
155	81	22
156	81	22
157	82	21
158	82	21
159	83	20
160	83	20
161	84	19
162	84	19
163	85	18
164	85	18
165	86	17
166	86	17
167	86	16
168	87	16
169	87	15
170	88	14
171	88	14
172	89	13
173	89	13
174	90	12
175	90	12
176	90	11
177	91	11
178	92	10
179	92	10
180	93	9
181	93	9
182	94	8
183	94	8
184	95	7
185	95	7
186	96	6
187	96	6
188	97	5
189	97	5
190	97	4
191	98	4
192	98	3
193	99	3
194	99	2
195	100	2
196	100	1
197	101	1
198	101	0
199	101	0
