User_id,Credit_id,Count_months,Amount,Month_payment,Payed,To_pay_this_month,Credit_taken,Pay_date
23746,982,9,100.00,10.00,10.00,10.00,2020-02-29 23:59:10,2020-02-29 23:59:10
23742,981,9,100.00,10.00,10.00,10.00,2020-02-29 23:53:59,2020-02-29 23:53:59
23745,980,9,100.00,10.00,10.00,10.00,2020-02-29 23:52:55,2020-02-29 23:52:55
3753,979,9,100.00,10.00,10.00,10.00,2020-02-29 23:52:37,2020-02-29 23:52:37
23469,978,9,100.00,10.00,10.00,10.00,2020-02-29 23:52:21,2020-02-29 23:52:21
23581,977,9,100.00,10.00,10.00,10.00,2020-02-29 23:46:47,2020-02-29 23:46:47
23580,976,9,100.00,10.00,10.00,10.00,2020-02-29 23:45:00,2020-02-29 23:45:00
23578,975,9,100.00,10.00,10.00,10.00,2020-02-29 23:44:11,2020-02-29 23:44:11
23577,974,9,100.00,10.00,10.00,10.00,2020-02-29 23:43:35,2020-02-29 23:43:35
22158,973,9,250.00,25.00,25.00,25.00,2020-02-29 23:42:23,2020-02-29 23:42:23
23576,972,9,100.00,10.00,10.00,10.00,2020-02-29 23:42:04,2020-02-29 23:42:04
3751,971,9,100.00,10.00,10.00,10.00,2020-02-29 23:41:03,2020-02-29 23:41:03
23574,970,9,100.00,10.00,10.00,10.00,2020-02-29 23:40:59,2020-02-29 23:40:59
23538,969,9,100.00,10.00,10.00,10.00,2020-02-29 23:39:57,2020-02-29 23:39:57
17523,968,9,100.00,10.00,10.00,10.00,2020-02-29 23:39:08,2020-02-29 23:39:08
23551,967,8,100.00,10.00,20.00,10.00,2020-02-29 23:36:06,2020-02-29 23:36:06
23550,966,9,100.00,10.00,10.00,10.00,2020-02-29 23:34:48,2020-02-29 23:34:48
23548,965,9,100.00,10.00,10.00,10.00,2020-02-29 23:33:55,2020-02-29 23:33:55
179,964,9,100.00,10.00,10.00,10.00,2020-02-29 23:32:43,2020-02-29 23:32:43
23545,963,8,100.00,10.00,20.00,10.00,2020-02-29 23:30:46,2020-02-29 23:30:46
23543,962,8,100.00,10.00,20.00,10.00,2020-02-29 23:28:55,2020-02-29 23:28:55
23739,961,9,500.00,50.00,50.00,50.00,2020-02-29 23:28:27,2020-02-29 23:28:27
18007,960,8,100.00,10.00,20.00,10.00,2020-02-29 23:27:19,2020-02-29 23:27:19
22318,959,9,250.00,25.00,25.00,25.00,2020-02-29 23:25:37,2020-02-29 23:25:37
23728,958,9,100.00,10.00,10.00,10.00,2020-02-29 23:25:15,2020-02-29 23:25:15
20888,957,9,100.00,10.00,10.00,10.00,2020-02-29 23:22:31,2020-02-29 23:22:31
17693,956,9,100.00,10.00,10.00,10.00,2020-02-29 23:20:42,2020-02-29 23:20:42
21357,955,9,100.00,10.00,10.00,10.00,2020-02-29 23:19:25,2020-02-29 23:19:25
10263,954,9,100.00,10.00,10.00,10.00,2020-02-29 23:07:25,2020-02-29 23:07:25
17021,953,9,100.00,10.00,10.00,10.00,2020-02-29 22:58:21,2020-02-29 22:58:21
23720,952,9,100.00,10.00,10.00,10.00,2020-02-29 22:56:23,2020-02-29 22:56:23
22757,951,9,250.00,25.00,25.00,25.00,2020-02-29 22:55:47,2020-02-29 22:55:47
20332,950,9,250.00,25.00,25.00,25.00,2020-02-29 22:55:30,2020-02-29 22:55:30
23726,949,9,100.00,10.00,10.00,10.00,2020-02-29 22:55:16,2020-02-29 22:55:16
4023,948,9,100.00,10.00,10.00,10.00,2020-02-29 22:49:37,2020-02-29 22:49:37
23261,947,9,100.00,10.00,10.00,10.00,2020-02-29 22:47:04,2020-02-29 22:47:04
23190,946,9,250.00,25.00,25.00,25.00,2020-02-29 22:43:51,2020-02-29 22:43:51
82,945,9,100.00,10.00,10.00,10.00,2020-02-29 22:40:54,2020-02-29 22:40:54
379,944,9,1000.00,100.00,100.00,100.00,2020-02-29 22:29:32,2020-02-29 22:29:32
23722,943,9,100.00,10.00,10.00,10.00,2020-02-29 22:27:28,2020-02-29 22:27:28
20379,942,9,100.00,10.00,10.00,10.00,2020-02-29 22:23:30,2020-02-29 22:23:30
20208,941,9,100.00,10.00,10.00,10.00,2020-02-29 22:18:44,2020-02-29 22:18:44
