User_id;Credit_id;Count_months;Amount;Month_payment;Payed;Left;Planned;Credit_taken;Pay_date
196;6;7;1000;100;100,00;0,00;100;18.12.2019 23:55;18.02.2020
227;20;7;500;50;50,00;0,00;50;20.12.2019 5:40;20.02.2020
238;22;7;500;50;50,00;0,00;50;20.12.2019 10:45;20.02.2020
45;24;26;5000;167;334,00;0,00;167;20.12.2019 14:59;20.02.2020
123;26;28;5000;167;0,00;167,00;167;20.12.2019 16:56;20.02.2020
211;28;19;1000;50;0,00;50,00;50;20.12.2019 18:07;20.02.2020
70;36;6;500;50;50,00;0,00;50;22.12.2019 13:50;22.02.2020
1109;39;7;1000;100;100,00;0,00;100;23.12.2019 0:38;22.02.2020
77;49;7;1000;100;100,00;0,00;100;23.12.2019 15:52;23.02.2020
988;50;7;1000;100;100,00;0,00;100;23.12.2019 15:59;23.02.2020
52;52;6;1000;100;100,00;0,00;100;23.12.2019 16:44;23.02.2020
66;54;7;500;50;0,00;0,00;50;23.12.2019 18:23;23.02.2020
98;56;9;1000;100;0,00;100,00;100;23.12.2019 20:02;23.02.2020
287;59;8;1000;100;0,00;100,00;100;23.12.2019 23:15;23.02.2020
210;60;9;600;60;50,00;60,00;60;23.12.2019 23:20;23.02.2020
107;61;7;1000;100;20,00;0,00;100;23.12.2019 23:27;23.02.2020
141;62;8;500;50;0,00;50,00;50;23.12.2019 23:34;23.02.2020
1562;63;8;500;50;53,00;48,00;50;24.12.2019 0:03;23.02.2020
106;64;7;1000;100;2,00;0,00;100;24.12.2019 0:07;23.02.2020
93;69;8;500;50;0,00;50,00;50;24.12.2019 3:22;23.02.2020
94;71;7;500;50;0,00;0,00;50;24.12.2019 3:43;23.02.2020
1845;72;7;500;50;50,00;0,00;50;24.12.2019 4:03;24.02.2020
51;84;9;1000;100;0,00;100,00;100;25.12.2019 13:55;25.02.2020
2628;85;7;500;50;50,00;0,00;50;25.12.2019 15:46;25.02.2020
2469;87;7;500;50;50,00;0,00;50;25.12.2019 20:24;25.02.2020
266;92;6;500;50;50,00;0,00;50;26.12.2019 10:09;26.02.2020
2330;98;7;500;50;50,00;0,00;50;26.12.2019 14:00;26.02.2020
424;108;7;1000;100;100,00;0,00;100;27.12.2019 10:13;27.02.2020
489;109;7;1000;100;100,00;0,00;100;27.12.2019 12:16;27.02.2020
509;112;7;1000;100;100,00;0,00;100;27.12.2019 17:36;27.02.2020
204;114;6;1000;100;100,00;0,00;100;27.12.2019 18:10;27.02.2020
2001;115;7;1000;100;100,00;0,00;100;27.12.2019 18:29;27.02.2020
193;116;6;1000;100;100,00;0,00;100;27.12.2019 18:47;27.02.2020
3897;118;6;1000;100;193,00;0,00;100;27.12.2019 19:37;27.02.2020
225;119;7;500;50;50,00;0,00;50;27.12.2019 21:21;27.02.2020
2228;120;7;1000;100;100,00;0,00;100;27.12.2019 22:17;27.02.2020
5534;123;7;500;50;50,00;0,00;50;28.12.2019 1:12;27.02.2020
5554;124;6;500;50;50,00;0,00;50;28.12.2019 1:31;27.02.2020
187;126;8;1000;100;0,00;97,00;100;28.12.2019 1:56;27.02.2020
5572;130;6;1000;100;0,00;0,00;100;28.12.2019 2:42;27.02.2020
5596;134;7;1000;100;100,00;0,00;100;28.12.2019 4:26;28.02.2020
2866;136;7;1000;100;100,00;0,00;100;28.12.2019 4:58;28.02.2020
5576;143;9;1000;100;0,00;100,00;100;28.12.2019 10:09;28.02.2020
4466;146;7;1000;100;100,00;0,00;100;28.12.2019 11:33;28.02.2020
2418;147;8;500;50;0,00;50,00;50;28.12.2019 13:22;28.02.2020
2834;148;7;500;50;0,00;0,00;50;28.12.2019 17:07;28.02.2020
88;149;7;500;50;50,00;0,00;50;28.12.2019 20:19;28.02.2020
5770;150;7;1000;100;100,00;0,00;100;28.12.2019 20:35;28.02.2020
6026;151;7;1000;100;100,00;0,00;100;28.12.2019 21:31;28.02.2020
6067;152;8;1000;100;6,00;94,00;100;28.12.2019 22:16;28.02.2020
99;153;7;500;50;50,00;0,00;50;28.12.2019 22:25;28.02.2020
5568;154;7;500;50;50,00;0,00;50;29.12.2019 0:08;28.02.2020
6565;155;7;1000;100;100,00;0,00;100;29.12.2019 0:58;28.02.2020
128;156;7;500;50;50,00;0,00;50;29.12.2019 1:17;28.02.2020
6509;157;9;500;50;0,00;50,00;50;29.12.2019 2:18;28.02.2020
6177;158;7;1500;150;100,00;0,00;150;29.12.2019 9:41;29.02.2020
5533;159;22;5000;167;668,00;0,00;167;29.12.2019 12:40;29.02.2020
6566;160;8;1000;100;0,00;49,00;100;29.12.2019 14:44;29.02.2020
5562;161;7;500;50;50,00;0,00;50;29.12.2019 15:22;29.02.2020
138;162;7;500;50;50,00;0,00;50;29.12.2019 19:35;29.02.2020
8939;163;7;500;50;0,00;0,00;50;29.12.2019 20:14;29.02.2020
180;164;9;500;50;0,00;50,00;50;29.12.2019 20:28;29.02.2020
2223;165;7;1000;100;0,00;0,00;100;29.12.2019 20:53;29.02.2020
1132;166;8;1000;100;100,00;100,00;100;29.12.2019 21:53;29.02.2020
9312;167;8;1000;100;0,00;100,00;100;29.12.2019 22:14;29.02.2020
1725;168;7;1000;100;100,00;0,00;100;29.12.2019 23:49;29.02.2020
5993;169;6;500;50;100,00;0,00;50;30.12.2019 1:32;29.02.2020
5638;170;7;1000;100;0,00;0,00;100;30.12.2019 1:45;29.02.2020
9806;172;9;1000;100;0,00;100,00;100;30.12.2019 2:12;29.02.2020
9923;173;6;500;50;0,00;0,00;50;30.12.2019 3:47;29.02.2020
9921;174;9;500;50;0,00;50,00;50;30.12.2019 5:07;29.02.2020
3667;175;7;1000;100;0,00;0,00;100;30.12.2019 5:31;29.02.2020
4057;176;7;500;50;50,00;0,00;50;30.12.2019 11:30;29.02.2020
3408;177;7;1000;100;100,00;0,00;100;30.12.2019 11:38;29.02.2020
9527;178;7;500;50;0,00;0,00;50;30.12.2019 12:22;29.02.2020
233;180;26;5000;167;167,00;0,00;167;30.12.2019 12:57;29.02.2020
6019;181;7;500;50;50,00;0,00;50;30.12.2019 14:29;29.02.2020
11043;182;7;1000;100;100,00;0,00;100;30.12.2019 15:24;29.02.2020
10023;183;7;1000;100;100,00;0,00;100;30.12.2019 15:43;29.02.2020
11113;184;7;500;50;50,00;0,00;50;30.12.2019 15:50;29.02.2020
11157;186;7;500;50;0,00;0,00;50;30.12.2019 16:07;29.02.2020
11156;187;7;500;50;50,00;0,00;50;30.12.2019 16:25;29.02.2020
3681;188;7;1000;100;0,00;0,00;100;30.12.2019 16:33;29.02.2020
9265;189;7;1000;100;100,00;0,00;100;30.12.2019 17:18;29.02.2020
10695;190;4;500;50;100,00;0,00;50;30.12.2019 17:48;29.02.2020
9966;191;7;1000;100;0,00;0,00;100;30.12.2019 17:53;29.02.2020
11501;192;27;5000;167;167,00;0,00;167;30.12.2019 18:53;29.02.2020
11508;193;7;500;50;0,00;0,00;50;30.12.2019 18:59;29.02.2020
2991;194;7;500;50;100,00;0,00;50;30.12.2019 19:05;29.02.2020
11431;195;9;1000;100;0,00;100,00;100;30.12.2019 19:09;29.02.2020
2426;196;7;500;50;0,00;0,00;50;30.12.2019 19:45;29.02.2020
5897;197;5;500;50;50,00;0,00;50;30.12.2019 19:58;29.02.2020
10841;198;7;500;50;50,00;0,00;50;30.12.2019 20:18;29.02.2020
134;199;7;1000;100;100,00;0,00;100;30.12.2019 20:37;29.02.2020
11746;200;7;500;50;0,00;0,00;50;30.12.2019 20:47;29.02.2020
