User_id,Credit_id,Count_months,Amount,Month_payment,Payed,Left,Planned,Credit_taken,Pay_date
196,6,7,1000.00,100.00,0,100.00,100.00,2019-12-18 23:55:33,2020-03-18
227,20,7,500.00,50.00,0,50.00,50.00,2019-12-20 05:40:39,2020-03-20
238,22,7,500.00,50.00,0,50.00,50.00,2019-12-20 10:45:33,2020-03-20
45,24,26,5000.00,167.00,0,0.00,167.00,2019-12-20 14:59:29,2020-03-20
123,26,28,5000.00,167.00,0,167.00,167.00,2019-12-20 16:56:37,2020-03-20
50,27,6,1000.00,100.00,0,0.00,100.00,2020-02-19 16:22:27,2020-03-19
211,28,19,1000.00,50.00,0,50.00,50.00,2019-12-20 18:07:06,2020-03-20
70,36,6,500.00,50.00,50.00,0.00,50.00,2019-12-22 13:50:34,2020-03-22
1109,39,7,1000.00,100.00,0,100.00,100.00,2019-12-23 00:38:34,2020-03-22
1392,46,6,600.00,60.00,0,0.00,60.00,2020-02-22 03:04:20,2020-03-21
77,49,7,1000.00,100.00,100.00,100.00,100.00,2019-12-23 15:52:38,2020-03-23
988,50,7,1000.00,100.00,0,100.00,100.00,2019-12-23 15:59:16,2020-03-23
52,52,6,1000.00,100.00,100.00,0.00,100.00,2019-12-23 16:44:58,2020-03-23
66,54,7,500.00,50.00,0,50.00,50.00,2019-12-23 18:23:25,2020-03-23
98,56,9,1000.00,100.00,0,100.00,100.00,2019-12-23 20:02:11,2020-03-23
287,59,8,1000.00,100.00,0,100.00,100.00,2019-12-23 23:15:35,2020-03-23
210,60,9,600.00,60.00,0,60.00,60.00,2019-12-23 23:20:13,2020-03-23
107,61,7,1000.00,100.00,100.00,80.00,100.00,2019-12-23 23:27:43,2020-03-23
141,62,8,500.00,50.00,0,50.00,50.00,2019-12-23 23:34:11,2020-03-23
1562,63,8,500.00,50.00,0,50.00,50.00,2019-12-24 00:03:56,2020-03-23
106,64,7,1000.00,100.00,100.00,98.00,100.00,2019-12-24 00:07:44,2020-03-23
93,69,8,500.00,50.00,0,50.00,50.00,2019-12-24 03:22:41,2020-03-23
94,71,7,500.00,50.00,0,50.00,50.00,2019-12-24 03:43:02,2020-03-23
1845,72,7,500.00,50.00,0,50.00,50.00,2019-12-24 04:03:18,2020-03-24
